sessionIx,blockIx,trialIx,trialOns,fixIx,fixOns,fixDur,cueIx,cueOns,cueDur,s1Ix,s1Ons,s1Dur,s2Ix,soaIx,s2Ons,s2Dur,ITIDur
1,2,281,586,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,282,588,0,0,0.2,,,,0,0.2,1.2,2,3,0.566,0.6,0.6
1,2,283,590,0,0,0.2,,,,0,0.2,1.2,0,0,0.266,0.6,0.6
1,2,284,592,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,285,594,0,0,0.2,,,,0,0.2,1.2,0,3,0.566,0.6,0.6
1,2,286,596,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,287,598,0,0,0.2,,,,0,0.2,1.2,1,4,0.666,0.6,0.6
1,2,288,600,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,289,602,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,290,604,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,291,606,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,292,608,0,0,0.2,,,,1,0.2,1.2,,,,,0.6
1,2,293,610,0,0,0.2,,,,0,0.2,1.2,2,4,0.666,0.6,0.6
1,2,294,612,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,295,614,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,296,616,0,0,0.2,,,,0,0.2,1.2,3,4,0.666,0.6,0.6
1,2,297,618,0,0,0.2,,,,0,0.2,1.2,,,,,0.6
1,2,298,620,0,0,0.2,,,,1,0.2,1.2,0,1,0.366,0.6,0.6
1,2,299,622,0,0,0.2,,,,0,0.2,1.2,0,4,0.666,0.6,0.6
1,3,300,636,0,0,0.2,,,,1,0.2,1.2,1,2,0.466,0.6,0.6
1,3,301,638,0,0,0.2,,,,1,0.2,1.2,3,2,0.466,0.6,0.6
1,3,302,640,0,0,0.2,,,,0,0.2,1.2,1,0,0.266,0.6,0.6
